dark brown sugar,dark_brown_sugar
light brown sugar,light_brown_sugar
brown sugar,brown_sugar
sanding sugar,sanding_sugar
confectioners' sugar,confectioners'_sugar
confectioners sugar,confectioners_sugar
sugar,sugar
molasses,molasses
granola,granola
flour,flour
baking soda,baking_soda
baking powder,baking_powder
arrowroot,arrowroot
cornstarch,cornstarch
cinnamon,cinnamon
ground clove,ground_clove
ground cloves,ground_cloves
cream of tartar,cream_of_tartar
ground ginger,ground_ginger
ground fennel seed,ground_fennel_seed
fresh rosemary,fresh_rosemary
ground cardamom,ground_cardamom
ground nutmeg,ground_nutmeg
grated nutmeg,grated_nutmeg
dried lavender,dried_lavender
ground allspice,ground_allspice
candied ginger,candied_ginger
egg whites,egg_whites
egg white,egg_white
egg yolks,egg_yolks
egg yolk,egg_yolk
eggs,eggs
egg,egg
salt,salt
unsalted butter,unsalted_butter
salted butter,salted_butter
butter,butter
margarine,margarine
M&M's,M&M's
shredded zucchini,shredded_zucchini
chopped zucchini,chopped_zucchini
unsweetened cocoa powder,unsweetened_cocoa_powder
cocoa powder,cocoa_powder
unsweetened cocoa,unsweetened_cocoa
cocoa,cocoa
bittersweet chocolate chips,bittersweet_chocolate_chips
semisweet chocolate chips,semisweet_chocolate_chips
semisweet chocolate chunks,semisweet_chocolate_chunks
semisweet chocolate,semisweet_chocolate
bittersweet chocolate,bittersweet_chocolate
unsweetened baking chocolate,unsweetened_baking_chocolate
unsweetened chocolate,unsweetened_chocolate
milk chocolate chips,milk_chocolate_chips
milk chocolate,milk_chocolate
dark chocolate,dark_chocolate
white chocolate chips,white_chocolate_chips
white chocolate baking squares,white_chocolate_baking_squares
chocolate baking squares,chocolate_baking_squares
white chocolate,white_chocolate
chocolate chips,chocolate_chips
chocolate chunks,chocolate_chunks
toffee candy bits,toffee_candy_bits
toffee candy,toffee_candy
caramel sauce,caramel_sauce
chocolate covered toffee,chocolate_covered_toffee
unsweetened shredded coconut,unsweetened_shredded_coconut
unsweetened coconut flakes,unsweetened_coconut_flakes
coconut flakes,coconut_flakes
shredded coconut,shredded_coconut
coconut,coconut
bananas,bananas
banana,banana
crunchy peanut butter,crunchy_peanut_butter
creamy peanut butter,creamy_peanut_butter
salted peanut butter,salted_peanut_butter
peanut butter chips,peanut_butter_chips
peanut butter,peanut_butter
dry-roasted peanuts,dry-roasted_peanuts
dry roasted peanuts,dry_roasted_peanuts
peanut butter chips,peanut_butter_chips
peanuts,peanuts
heavy cream,heavy_cream
olive oil,olive_oil
vegetable oil,vegetable_oil
vegetable shortening,vegetable_shortening
coconut oil,coconut_oil
oil,oil
cooking spray,cooking_spray
baking spray,baking_spray
old fashioned rolled oats,old_fashioned_rolled_oats
old-fashioned rolled oats,old-fashioned_rolled_oats
old-fashioned oats,old-fashioned_oats
rolled oats,rolled_oats
quick oats,quick_oats
oatmeal,oatmeal
oats,oats
pitted medjool dates,pitted_medjool_dates
dried pitted dates,dried_pitted_dates
dried figs,dried_figs
dried apricots,dried_apricots
chopped walnuts,chopped_walnuts
walnut pieces,walnut_pieces
toasted walnuts,toasted_walnuts
walnuts,walnuts
toasted pecans,toasted_pecans
pecan pieces,pecan_pieces
pecans,pecans
pine nuts,pine_nuts
macadamia nuts,macadamia_nuts
currants,currants
dried cherries,dried_cherries
dried cranberries,dried_cranberries
dried fruit,dried_fruit
strawberry jam,strawberry_jam
raspberry jam,raspberry_jam
cherry jam,cherry_jam
grape jam,grape_jam
jam,jam
brandy,brandy
ricotta,ricotta
ground almonds,ground_almonds
almond paste,almond_paste
almond flour,almond_flour
toasted almonds,toasted_almonds
almonds,almonds
toasted hazelnuts,toasted_hazelnuts
hazelnuts,hazelnuts
dark rum,dark_rum
buttermilk,buttermilk
sweetened condensed milk,sweetened_condensed_milk
milk,milk
graham cracker crumbs,graham_cracker_crumbs
crushed graham crackers,crushed_graham_crackers
graham crackers,graham_crackers
mini marshmallows,mini_marshmallows
marshmallows,marshmallows
water,water
vanilla extract,vanilla_extract
vanilla bean seeds,vanilla_bean_seeds
vanilla beans,vanilla_beans
vanilla bean,vanilla_bean
vanilla,vanilla
lemon extract,lemon_extract
almond extract,almond_extract
golden raisins,golden_raisins
raisins,raisins
honey,honey
lemon zest,lemon_zest
lemons,lemons
lemon juice,lemon_juice
lemon,lemon
orange juice,orange_juice
orange zest,orange_zest
orange extract,orange_extract
juice,juice
zest,zest
butterscotch,butterscotch
corn syrup,corn_syrup
wheat germ,wheat_germ
instant coffee granules,instant_coffee_granules
instant coffee,instant_coffee
coffee powder,coffee_powder
coffee,coffee
rainbow sprinkles,rainbow_sprinkles
sprinkles,sprinkles
chia seeds,chia_seeds
pumpkin puree,pumpkin_puree
lemon-lime soda,lemon-lime_soda
crispy rice cereal,crispy_rice_cereal
rice cereal,rice_cereal
tahini,tahini
maple syrup,maple_syrup
creme fraiche,creme_fraiche
vanilla ice cream,vanilla_ice_cream
chocolate ice cream,chocolate_ice_cream
strawberry ice cream,strawberry_ice_cream
orange flower water,orange_flower_water
honey dip,honey_dip
candy-coated chocolates,candy-coated_chocolates
candy coated chocolates,candy_coated_chocolates
milk chocolate candies,milk_chocolate_candies
chocolate candies,chocolate_candies
sour cream,sour_cream
fleur de sel,fleur_de_sel
plain yogurt,plain_yogurt
mini pretzels,mini_pretzels
pretzels,pretzels
potato chips,potato_chips
flax seeds,flax_seeds
